1,Name of the Organisation,CTC,Roles Offered,Office Location,,
2,Tech Mahindra,INR 5.5 L /Annum,GET,Not Disclosed,,
3,HCL Technologies,INR 4.25 per Annum,Software Engineer,Noida,,
4,Capegemini,INR 4.25 per annum,Software Engineer,Not Disclosed,,
5,Contata Solutions Pvt. Ltd,4.50 LPA,Trainee,Noida,,
6,rtCamp Solutions Private Limited,12 LPA-18 LPA,WordPress Engineer,Permanent Remote,,
7,Comviva,Rs.3.75 LPA,Product Support Engineer,Gurgaon/Bangalore,,
8,Gemini Solutions Private Limited,7-8 LPA,Technical Trainee,Gurgaon/Bangalore,,
9,Metacube,5.2LPA - 6.2 LPA,Graduate Engineer Trainee, Jaipur,,
10,Vinove Software & Services Pvt. Ltd.,Rs. 4.20 LPA to 5.40 LPA,Associate Software Developer,Noida/Gurugram/Mohali,,
11,Zimyo Consulting Pvt. Ltd,Rs. 4.80 LPA,Trainee,Gurgaon,,
12,Hevo Data,Stipend: 25k/month + Incentive,Business Development Associates,Bangalore (in-office role),,
13,Cybercube, Rs.4:00 LPA to 6:00 LPA,1. Security Analyst- Process Consulting,Gurgaon,,
14,Uno Minda Ltd,Rs. 4.81 LPA,GET,Gurgaon,,
15,Space Group,, Business Development Executives,,,
16,BITCS's Software Developer.,,,,,
17,Fidelity International, Rs. 9.00 lpa (Rs. 8.00lpa+1.00lpa variable). ,,,,
18,DeltaX,"Rs 10,000/- Per month",Associate Product Engineer,"Bangalore, Hyderabad and Pune",,
19,Metacube,5.2LPA - 6.2 LPA,Graduate Engineer Trainee,Jaipur ,,
20,Tekion India,Rs. 8.00 LPA,Software Developer,Gurugram,,
21,HCL Technologies,,Graduate Engineer Trainee - INFRA in Core Companies,,,
22,TechM,INR 5.5 L /Annum,Software Engineer,Gurugram,,
23,Sopra Steria,,Engineer Trainee,,,
24,Hexaware Technologies,Rs. 6 LPA,Software Engineer,Jaipur ,,
25,Sugal & Damani Group,Rs. 4.80 LPA,Software Engineer,,,
26,Axtria,Rs 5.00 LPA ,Buisness Analyst,Noida,,
27,Ui Path,Rs. 10 LPA,RPA DEVELOPER,Bangalore,,
28,Play Simple Games,23 Lacs,Software Engineer,Bangalore,,
29,Genpact Test Link,Rs. 4.8 Lakh per annum,,Bangalore,,
30,Appcino a Xebia Company,Rs.  5.00 Lakh per annum,Software Engineer,Gurgaon,,
31,Nokia,Rs. 6.00 LPA,GET,Gurgaon,,
32,Nokia,Stipend: 15k/month + Incentive,Research Engineer,Bangalore,,
33,IBM,"Rs, 5.00 LPA",Software Engineer,Bangalore,,
34,Wobot.ai,Rs. 6.00 LPA,Computer Vision Intern.,Noida,,
35,Inflection Point Venture,Rs 5.40 LPA,,,,
36,JSW Group,"8,50,000.00 per Annum",GET,PAN India,,
37,SoulSurfer,"?  5,00,000.00 per Annum",,Gurugram ( Remote joining options are also possible),,
38,KPMG,"?  5,00,000.00 per Annum",Analyst- Digital Trust,"Noida,Gurgaon,Mumbai,Bangalore,Hyderabad",,
39,Libsys,"?  6,00,000.00 - ?  9,00,000.00 per Annum",Development Trainee,Gurugram,,
40,Intelle Wings,"?  9,00,000.00 per Annum",Full-stack development,Chandigarh,,
41,IBM,"?  4,75,000.00 per Annum",Associate System Engineer,Pan India,,
